time,UpperGearRPM,UpperGearTorqueNm,BearingAForceN,PropellerRPM,Shoulder1_tau,Shoulder1_sigmaN,Shoulder1_sigmaM,PropShaftTor,BearingBForceN,BearingCForceN,BearingDForceN,BearingPinForceN,BearingPropForceN,LowergearRPM
0.0000000000000000e+00,7.8332560560000132e+01,-3.8931220070628450e-11,4.1029831703068499e+04,2.7790499068070176e+01,1.2440631314260550e+02,3.6077308684547152e+06,1.3303828737186246e+07,2.6010000000000000e-01,1.5873272879538934e+04,2.2361327987563094e-10,3.4618273417336508e-11,1.5280585396121780e-10,6.8570825794422111e+04,-7.5431354613333212e+01
1.0000000000000000e-03,7.8332560560599731e+01,-1.0827541772137938e-05,4.1029832361196241e+04,2.7790499449071675e+01,1.2440631314260550e+02,3.6077309872709480e+06,1.3303828704133956e+07,2.6010000000000000e-01,1.5873268881821370e+04,6.8132795117435219e-03,1.0547851770586116e-03,4.6558459973731481e-03,6.8570829231102791e+04,-7.5431354781048995e+01
2.0000000000000000e-03,7.8332560784092877e+01,2.1982265898945947e-03,4.1029835226671537e+04,2.7790500098092068e+01,2.1805781684626623e+02,3.6077311896695206e+06,1.3303828560224973e+07,4.5590000000000003e-01,1.5873251475854180e+04,3.6478158281604431e-02,5.6472981294125703e-03,2.4927303647856780e-02,6.8570838208677887e+04,-7.5431355687215728e+01
3.0000000000000001e-03,7.8332590218760217e+01,2.9693699187146738e-01,4.1029838765017128e+04,2.7790500572329687e+01,1.7104074425142531e+02,3.6077313375616670e+06,1.3303828382523391e+07,3.5759999999999997e-01,1.5873229982659859e+04,7.3108923332400086e-02,1.1318221791549033e-02,4.9958890939777532e-02,6.8570847355047037e+04,-7.5431357469302881e+01
4.0000000000000001e-03,7.8333506663167967e+01,7.6685713178144912e+00,4.1029964836660751e+04,2.7790500684209366e+01,5.4095940086230996e+01,3.6077313724516141e+06,1.3303822051053395e+07,1.1310000000000001e-01,1.5872464205397842e+04,1.3782569478071165e+00,2.1337228220554413e-01,9.4183015429487260e-01,6.8571073748747847e+04,-7.5431367868486959e+01

