Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
23.4490000000057,78.407928810041,48447.3849000196,17328.6089499974,5
23.4500000000057,78.4151475100492,48450.8383000446,17328.1420799966,5
23.4510000000057,78.4238087600567,48458.692100069,17327.5400099959,5
23.4520000000057,78.4338042700636,48470.8550000927,17326.8098299952,5
23.4530000000057,78.4450090900697,48487.1834001153,17325.9600199945,5
23.4540000000057,78.4572832100749,48507.4759001364,17325.000329994,5
23.4550000000057,78.4704734000793,48531.4827001559,17323.9416499935,5
23.4560000000057,78.4844150800825,48558.9141001735,17322.7958599931,5
23.4570000000057,78.4989344800848,48589.4373001889,17321.5757499927,5
23.4580000000057,78.5138508400861,48622.6748002022,17320.2948299924,5
23.4590000000057,78.5289786300862,48658.2165002128,17318.9672499923,5
23.4600000000057,78.5441299500852,48695.6294002208,17317.6076399922,5
23.4610000000057,78.5591168200833,48734.4547002263,17316.2310099922,5
23.4620000000057,78.5737535500803,48774.2092002287,17314.8526099922,5
23.4630000000057,78.5878590200763,48814.4006002284,17313.4877999924,5
23.4640000000057,78.6012588700713,48854.5361002254,17312.1518999926,5
23.4650000000057,78.6137876800655,48894.1191002195,17310.860059993,5
23.4660000000057,78.6252909700589,48932.6540002108,17309.6270899934,5
23.4670000000057,78.6356270200515,48969.6619001996,17308.4673099939,5
23.4680000000057,78.6446686300435,49004.6873001858,17307.3943999945,5
23.4690000000057,78.652304640035,49037.2935001697,17306.4211799951,5
23.4700000000057,78.658441210026,49067.0698001515,17305.5594799958,5
23.4710000000057,78.6630030200167,49093.6462001314,17304.8199499965,5
23.4720000000057,78.6659340800072,49116.6956001097,17304.2119099973,5
23.4730000000057,78.6671984899976,49135.9287000866,17303.7431699982,5
23.4740000000057,78.6667807699881,49151.1020000623,17303.419889999,5
23.4750000000057,78.6646861499786,49162.0288000374,17303.2464899999,5
23.4760000000057,78.6609404099694,49168.5774000119,17303.2255000008,5
23.4770000000057,78.6555896699607,49170.6643999863,17303.3575500016,5
23.4780000000057,78.6486997599524,49168.2621999609,17303.6412600025,5
23.4790000000057,78.6403554999446,49161.4053999359,17304.0732800033,5
23.4800000000057,78.6306596199376,49150.1848999118,17304.6482900041,5
23.4810000000057,78.6197316199313,49134.7398998887,17305.3590700048,5
23.4820000000057,78.6077062099258,49115.262999867,17306.1965700054,5
23.4830000000057,78.5947317799213,49092.0033998471,17307.150040006,5
23.4840000000057,78.5809685699178,49065.2561998291,17308.2071800066,5
23.4850000000057,78.5665866599152,49035.353399813,17309.354310007,5
23.4860000000057,78.5517639799137,49002.6682997995,17310.5765600073,5
23.4870000000057,78.5366840599133,48967.6141997883,17311.8580800076,5
23.4880000000057,78.521533769914,48930.6305997799,17313.1822900077,5
23.4890000000057,78.5065010499157,48892.1745997742,17314.5321000078,5
23.4900000000057,78.4917725299184,48852.7242997712,17315.8901400077,5
23.4910000000057,78.4775312499222,48812.7750997712,17317.2390400076,5
23.4920000000057,78.463954319927,48772.823199774,17318.5616200073,5
23.4930000000057,78.4512107499327,48733.3591997795,17319.841180007,5
23.4940000000057,78.4394592999392,48694.8720997878,17321.0616900066,5
23.4950000000057,78.4288464999465,48657.8423997988,17322.2080200061,5
23.4960000000057,78.4195047699544,48622.7257998121,17323.2661300055,5
23.4970000000057,78.4115507799629,48589.9510998278,17324.2232600048,5
23.4980000000057,78.4050839299719,48559.9235998457,17325.0680500041,5
23.4990000000057,78.4001851199812,48533.0167998654,17325.7907400034,5
23.5000000000057,78.3969156899908,48509.5592998868,17326.3832100026,5
23.5010000000057,78.3953166500005,48489.8355999097,17326.8391000018,5
23.5020000000057,78.3954081200102,48474.0902999336,17327.153880001,5
23.5030000000057,78.3971891200198,48462.5202999583,17327.3248500002,5
23.5040000000057,78.4006375300291,48455.2646999836,17327.3511399993,5
23.5050000000057,78.4057103800381,48452.4096000091,17327.2337199985,5
23.5060000000057,78.4123443900466,48453.9934000345,17326.9753499977,5
23.5070000000057,78.4204567600545,48459.9997000595,17326.580459997,5
23.5080000000057,78.4299462400618,48470.3515000837,17326.0551199963,5
23.5090000000057,78.4406944100683,48484.919400107,17325.4069399956,5
23.5100000000057,78.4525671700739,48503.5287001289,17324.644879995,5
23.5110000000058,78.4654164600786,48525.9528001493,17323.7792099945,5
23.5120000000058,78.4790821300823,48551.9116001678,17322.821309994,5
23.5130000000058,78.493393950085,48581.0841001842,17321.7835499936,5
23.5140000000058,78.5081738000867,48613.1152001985,17320.6791599933,5
23.5150000000058,78.5232378900873,48647.6103002102,17319.5220499931,5
23.5160000000058,78.5383990400868,48684.1383002195,17318.326689993,5
23.5170000000058,78.5534691000852,48722.2469002259,17317.1079399929,5
23.5180000000058,78.5682612000825,48761.4682002295,17315.880949993,5
23.5190000000058,78.5825921400789,48801.3148002303,17314.6609399931,5
23.5200000000058,78.5962846400742,48841.2867002282,17313.4631299933,5
23.5210000000058,78.6091694800687,48880.8872002232,17312.3025599936,5
23.5220000000058,78.6210876100623,48919.6268002156,17311.193929994,5
23.5230000000058,78.6318921000551,48957.0202002051,17310.1514899944,5
23.5240000000058,78.6414498500472,48992.5955001921,17309.188839995,5
23.5250000000058,78.6496432700388,49025.9094001768,17308.3187999956,5
23.5260000000058,78.6563716500299,49056.5482001591,17307.5532699962,5
23.5270000000058,78.6615523500206,49084.1248001394,17306.903039997,5
23.5280000000058,78.6651218400111,49108.2893001181,17306.3776399977,5
23.5290000000058,78.6670363900014,49128.7405000952,17305.9852199985,5
23.5300000000058,78.6672726199917,49145.224300071,17305.7323699994,5
23.5310000000058,78.6658277499821,49157.529500046,17305.6240100002,5
23.5320000000058,78.6627196599727,49165.4982000204,17305.6632800011,5
23.5330000000058,78.6579866499636,49169.0328999946,17305.8514300019,5
23.5340000000058,78.651686989955,49168.0909999687,17306.1877800028,5
23.5350000000058,78.6438982199469,49162.6796999433,17306.6696600036,5
